Date,Aomori,Hachinohe,Hirosaki,Goshogawara,Mutsu,Kamitosan,Sannohe,Eastern,Outside Aomori
2/2/2022,150,43,114,34,7,30,14,1,1
2/3/2022,118,25,181,11,11,38,7,0,1
2/4/2022,166,57,113,34,7,74,8,1,0
2/5/2022,135,48,141,15,12,46,7,3,1
2/6/2022,133,68,198,1,10,12,3,3,0
2/7/2022,102,25,70,26,2,31,3,1,0
2/8/2022,101,60,103,23,20,75,6,3,0
2/9/2022,168,120,114,18,14,40,16,8,0
2/10/2022,155,60,176,33,20,20,3,2,0
2/11/2022,189,72,128,32,6,22,23,19,0
2/12/2022,134,68,72,31,13,40,5,6,1
2/13/2022,76,52,104,5,5,30,8,0,0
2/14/2022,24,9,73,2,11,43,7,4,0
2/15/2022,114,35,97,27,8,53,11,12,0
2/16/2022,177,93,220,3,19,35,3,5,0
2/17/2022,187,44,167,11,13,23,6,3,1
2/18/2022,180,53,76,21,16,43,8,0,0
2/19/2022,153,110,152,3,25,41,2,2,0
2/20/2022,99,48,63,8,7,12,5,1,1
2/21/2022,62,51,138,15,14,46,10,18,0
2/22/2022,86,61,120,19,25,40,5,3,0
2/23/2022,155,99,187,19,14,33,13,13,0
2/24/2022,146,54,56,27,5,14,13,7,1
2/25/2022,104,47,107,7,11,41,7,0,3
2/26/2022,171,88,147,8,13,28,20,0,0
2/27/2022,95,90,112,27,8,62,14,12,0
2/28/2022,52,69,127,20,12,40,25,3,0
3/1/2022,131,101,129,7,13,43,25,5,0
3/2/2022,172,115,118,11,5,29,27,4,0
3/3/2022,168,139,118,11,8,66,21,6,0
3/4/2022,136,122,136,2,12,41,9,2,0
3/5/2022,141,114,178,13,9,49,34,4,0
